instance family mcsplitdown14 mcsplitdownbiasedrestarts14
F.04 1 7 9
C.18 1 128 220
A.04 1 4 2
C.02 1 179 170
E.01 1 NaN NaN
F.20 1 9 9
B.20 1 81 38
C.08 1 22132 591
B.11 1 29 31
C.10 1 1886 91
B.06 1 34 32
F.08 1 8 10
B.07 1 65 38
E.04 1 NaN NaN
C.01 1 689 1069
B.10 1 31 31
A.15 1 3 2
C.19 1 488 202
B.02 1 46 40
E.06 1 NaN NaN
E.18 1 NaN NaN
C.20 1 190 209
F.02 1 10 9
F.11 1 9 8
F.12 1 8 8
E.05 1 NaN NaN
B.16 1 22 24
A.08 1 4 4
C.14 1 54 74
F.16 1 5 9
F.06 1 6 8
A.03 1 4 4
E.19 1 NaN NaN
C.15 1 1905 586
A.16 1 3 2
B.14 1 598 173
A.02 1 4 3
F.14 1 7 8
F.05 1 6 5
B.09 1 25 29
A.01 1 4 4
C.05 1 71 102
B.01 1 226 89
A.09 1 3 3
A.07 1 3 2
F.03 1 7 9
E.12 1 NaN NaN
C.06 1 140 226
C.09 1 66 101
B.17 1 62 27
C.07 1 137 95
E.09 1 NaN NaN
E.17 1 NaN NaN
C.11 1 8955 5615
F.10 1 NaN NaN
A.17 1 2 4
B.15 1 27 20
E.03 1 NaN NaN
F.19 1 5 7
A.12 1 2 2
B.08 1 126 201
F.17 1 5 7
C.04 1 494555 4004
B.19 1 44 89
C.16 1 4045 598
C.17 1 2862 213
E.08 1 NaN NaN
F.13 1 6 10
A.20 1 2 4
E.02 1 NaN NaN
E.16 1 NaN NaN
B.12 1 370 385
F.09 1 7 8
A.10 1 5 5
F.18 1 5 10
E.10 1 9 9
A.06 1 2 1
E.15 1 NaN NaN
E.07 1 NaN NaN
E.11 1 NaN NaN
B.03 1 21 23
B.18 1 26 24
C.03 1 97 242
A.18 1 4 3
F.15 1 8 8
A.19 1 5 5
C.12 1 1770 1127
B.05 1 88 31
A.13 1 2 2
A.05 1 3 4
F.01 1 8 8
E.20 1 NaN NaN
B.13 1 39 64
A.14 1 5 17
B.04 1 89 174
C.13 1 64 69
F.07 1 7 9
E.13 1 NaN NaN
E.14 1 NaN NaN
A.11 1 2 5
si6_r005_m400.07 7 26 26
si6_r005_m400.00 7 39 38
si6_r005_m400.01 7 21 25
si6_r005_m400.02 7 18 6
si6_r005_m400.04 7 15 10
si6_r005_m400.05 7 11 23
si6_r005_m400.09 7 9 7
si6_r005_m400.03 7 10 9
si6_r005_m400.06 7 7 21
si6_r005_m400.08 7 24 49
si6_m4Dr6_m625.04 6 13 16
si6_m4Dr6_m625.01 6 14 13
si6_m4Dr6_m625.09 6 9 10
si6_m4Dr6_m625.07 6 15 14
si6_m4Dr6_m625.00 6 15 17
si6_m4Dr6_m625.08 6 14 10
si6_m4Dr6_m625.05 6 10 8
si6_m4Dr6_m625.06 6 10 13
si6_m4Dr6_m625.02 6 14 11
si6_m4Dr6_m625.03 6 10 14
si4_m4Dr2_m625.09 6 7 7
si4_m4Dr2_m625.04 6 21 26
si4_m4Dr2_m625.02 6 8 9
si4_m4Dr2_m625.07 6 9 9
si4_m4Dr2_m625.00 6 8 8
si4_m4Dr2_m625.08 6 9 9
si4_m4Dr2_m625.01 6 9 9
si4_m4Dr2_m625.06 6 6 12
si4_m4Dr2_m625.03 6 12 9
si4_m4Dr2_m625.05 6 6 7
si2_r001_m600.00 7 NaN NaN
si2_r001_m600.06 7 NaN 123575
si2_r001_m600.04 7 158 90
si2_r001_m600.07 7 NaN NaN
si2_r001_m600.02 7 NaN NaN
si2_r001_m600.08 7 NaN NaN
si2_r001_m600.03 7 NaN NaN
si2_r001_m600.01 7 NaN 70033
si2_r001_m600.05 7 NaN 101545
si2_r001_m600.09 7 NaN NaN
si2_m4Dr2_m256.09 6 17 10
si2_m4Dr2_m256.03 6 96 28
si2_m4Dr2_m256.04 6 55 72
si2_m4Dr2_m256.07 6 2 2
si2_m4Dr2_m256.00 6 13 7
si2_m4Dr2_m256.06 6 44 10
si2_m4Dr2_m256.08 6 1 1
si2_m4Dr2_m256.05 6 0 1
si2_m4Dr2_m256.01 6 3 8
si2_m4Dr2_m256.02 6 3 3
si6_r001_m600.09 7 11 10
si6_r001_m600.00 7 254 460
si6_r001_m600.07 7 15 28
