instance family sat restarting3 restarting3con10000 parallel3t32 parallel3t32con10000 nonsharing3t32 mpi3h6t16npn2bt32con10000
F.04 1 1 92 91 154 165 153 151
C.18 1 1 140 131 930 894 799 558
A.04 1 1 6 4 61 63 55 50
C.02 1 1 132 165 891 907 895 558
E.01 1 0 57 99 145 144 147 148
F.20 1 1 133 93 242 220 213 172
B.20 1 1 69 69 366 369 355 251
C.08 1 1 177 173 848 840 846 559
B.11 1 1 80 76 359 384 347 249
C.10 1 1 175 179 895 838 872 566
B.06 1 1 85 84 404 380 383 242
F.08 1 1 106 106 173 190 156 166
B.07 1 1 68 81 347 349 342 248
E.04 1 0 98 91 134 143 142 149
C.01 1 1 166 165 881 960 898 562
B.10 1 1 82 74 380 379 349 246
A.15 1 1 8 8 59 65 58 50
C.19 1 1 188 159 815 873 846 544
B.02 1 1 64 78 357 370 328 252
E.06 1 0 116 94 156 147 152 154
E.18 1 0 93 84 150 133 131 148
C.20 1 1 207 203 944 891 934 581
F.02 1 1 88 84 143 164 157 147
F.11 1 1 84 80 157 150 110 144
F.12 1 1 93 62 139 126 144 152
E.05 1 0 126 103 146 141 170 162
B.16 1 1 71 65 378 366 363 246
A.08 1 1 7 7 60 62 58 50
C.14 1 1 151 160 967 920 872 561
F.16 1 1 81 86 145 140 137 143
F.06 1 1 93 72 175 185 161 161
A.03 1 1 8 8 62 59 51 51
E.19 1 0 74 67 148 148 140 140
C.15 1 1 170 159 924 885 849 555
A.16 1 1 9 7 60 64 57 50
B.14 1 1 77 60 372 384 393 255
A.02 1 1 7 8 55 56 53 50
F.14 1 1 98 61 145 148 142 139
F.05 1 1 100 82 149 153 161 146
B.09 1 1 51 59 343 377 372 248
A.01 1 1 8 6 64 59 57 49
C.05 1 1 160 163 901 908 867 571
B.01 1 1 48 70 331 342 323 250
A.09 1 1 7 9 55 57 51 49
A.07 1 1 7 7 59 61 51 50
F.03 1 1 100 98 120 151 145 142
E.12 1 0 105 105 153 174 134 154
C.06 1 1 171 157 905 942 936 576
C.09 1 1 179 165 897 854 817 565
B.17 1 1 59 52 332 370 333 256
C.07 1 1 135 190 893 868 907 545
E.09 1 0 73 98 163 140 156 146
E.17 1 0 92 72 155 165 155 154
C.11 1 1 140 131 897 918 864 564
F.10 1 0 81 79 136 147 131 151
A.17 1 1 6 4 57 58 57 50
B.15 1 1 48 74 396 370 355 251
E.03 1 0 64 67 130 132 150 145
F.19 1 1 62 82 142 151 134 142
A.12 1 1 7 7 59 60 55 50
B.08 1 1 86 75 306 319 378 253
F.17 1 1 62 70 150 167 149 149
C.04 1 1 156 151 930 919 804 563
B.19 1 1 49 60 373 395 383 254
C.16 1 1 141 180 927 952 886 554
C.17 1 1 152 128 867 892 918 564
E.08 1 0 77 82 150 153 148 158
F.13 1 1 86 90 165 159 156 158
A.20 1 1 6 4 62 58 56 50
E.02 1 0 102 91 157 137 120 158
E.16 1 0 107 89 143 134 161 153
B.12 1 1 82 60 370 347 366 247
F.09 1 1 72 86 169 168 152 158
A.10 1 1 5 4 62 61 48 49
F.18 1 1 65 72 160 165 146 145
E.10 1 1 75 79 141 143 146 139
A.06 1 1 11 8 67 67 54 50
E.15 1 0 73 76 154 151 135 159
E.07 1 0 87 74 140 164 142 150
E.11 1 0 83 76 132 146 153 155
B.03 1 1 57 71 355 373 359 251
B.18 1 1 49 53 361 411 331 247
C.03 1 1 159 152 815 889 946 552
A.18 1 1 7 6 59 57 58 50
F.15 1 1 75 87 149 156 135 144
A.19 1 1 4 4 58 53 50 50
C.12 1 1 119 144 817 984 887 558
B.05 1 1 59 49 347 398 348 252
A.13 1 1 4 7 61 56 56 49
A.05 1 1 5 9 53 61 52 49
F.01 1 1 61 58 147 145 140 142
E.20 1 0 98 65 149 137 135 149
B.13 1 1 70 60 368 329 378 249
A.14 1 1 8 4 62 62 57 50
B.04 1 1 49 49 360 353 360 251
C.13 1 1 132 148 935 876 832 570
F.07 1 1 109 83 121 162 157 163
E.13 1 0 94 71 153 139 130 154
E.14 1 0 89 74 155 157 146 155
A.11 1 1 7 9 66 64 59 50
si6_r005_m400.07 7 1 173 215 205 232 225 200
si6_r005_m400.00 7 1 123 185 258 214 203 205
si6_r005_m400.01 7 1 129 147 203 221 215 206
si6_r005_m400.02 7 1 115 144 171 187 190 197
si6_r005_m400.04 7 1 119 145 177 209 210 202
si6_r005_m400.05 7 1 126 118 195 172 187 198
si6_r005_m400.09 7 1 116 131 206 211 202 197
si6_r005_m400.03 7 1 85 137 236 194 189 197
si6_r005_m400.06 7 1 104 135 181 184 177 197
si6_r005_m400.08 7 1 174 163 218 284 225 195
si6_m4Dr6_m625.04 6 1 33 46 281 248 278 182
si6_m4Dr6_m625.01 6 1 30 31 266 258 235 177
si6_m4Dr6_m625.09 6 1 39 35 269 268 254 183
si6_m4Dr6_m625.07 6 1 32 52 265 260 259 186
si6_m4Dr6_m625.00 6 1 37 37 232 256 239 191
si6_m4Dr6_m625.08 6 1 31 63 269 268 247 185
si6_m4Dr6_m625.05 6 1 51 41 302 280 268 178
si6_m4Dr6_m625.06 6 1 56 50 273 267 280 179
si6_m4Dr6_m625.02 6 1 32 46 258 226 228 187
si6_m4Dr6_m625.03 6 1 30 29 264 237 235 183
si4_m4Dr2_m625.09 6 1 25 20 169 167 157 127
si4_m4Dr2_m625.04 6 1 30 41 197 171 169 132
si4_m4Dr2_m625.02 6 1 18 28 185 191 173 126
si4_m4Dr2_m625.07 6 1 36 41 194 184 169 127
si4_m4Dr2_m625.00 6 1 30 19 191 191 171 127
si4_m4Dr2_m625.08 6 1 33 28 202 181 164 126
si4_m4Dr2_m625.01 6 1 18 31 188 193 175 125
si4_m4Dr2_m625.06 6 1 33 20 168 186 160 129
si4_m4Dr2_m625.03 6 1 24 19 177 203 176 126
si4_m4Dr2_m625.05 6 1 20 37 172 199 194 124
si2_r001_m600.00 7 1 35 31 119 119 108 89
si2_r001_m600.06 7 1 147 122 113 123 106 89
si2_r001_m600.04 7 1 24 36 123 119 105 90
si2_r001_m600.07 7 1 54 56 125 124 109 89
si2_r001_m600.02 7 1 17 16 105 114 114 88
si2_r001_m600.08 7 1 80 135 140 149 131 91
si2_r001_m600.03 7 1 111 44 173 150 142 89
si2_r001_m600.01 7 1 26 25 123 102 100 88
si2_r001_m600.05 7 1 92 108 103 115 114 87
si2_r001_m600.09 7 1 20 21 118 115 96 86
si2_m4Dr2_m256.09 6 1 4 3 34 35 29 34
si2_m4Dr2_m256.03 6 1 4 5 33 30 32 35
si2_m4Dr2_m256.04 6 1 5 8 31 27 27 35
si2_m4Dr2_m256.07 6 1 3 3 32 32 28 34
si2_m4Dr2_m256.00 6 1 2 2 25 26 29 34
si2_m4Dr2_m256.06 6 1 9 4 30 31 32 35
si2_m4Dr2_m256.08 6 1 2 1 29 27 28 34
si2_m4Dr2_m256.05 6 1 2 3 28 31 29 34
si2_m4Dr2_m256.01 6 1 2 2 33 30 32 34
si2_m4Dr2_m256.02 6 1 2 2 30 34 30 34
si6_r001_m600.09 7 1 46 54 261 283 245 194
si6_r001_m600.00 7 1 46 47 258 236 252 204
si6_r001_m600.07 7 1 46 48 274 269 230 208
si6_r001_m600.03 7 1 50 56 275 286 253 194
si6_r001_m600.01 7 1 48 75 266 278 272 198
si6_r001_m600.06 7 1 63 61 256 295 230 201
si6_r001_m600.08 7 1 49 52 261 239 237 206
si6_r001_m600.02 7 1 47 50 248 265 253 196
si6_r001_m600.04 7 1 48 47 265 273 243 193
si6_r001_m600.05 7 1 65 51 284 292 233 200
si2_m4Dr2_m1296.05 6 1 44 57 323 334 286 213
si2_m4Dr2_m1296.09 6 1 65 54 350 336 338 224
si2_m4Dr2_m1296.02 6 1 210 193 371 330 302 217
si2_m4Dr2_m1296.07 6 1 41 41 331 308 295 219
si2_m4Dr2_m1296.00 6 1 46 49 310 376 308 215
si2_m4Dr2_m1296.06 6 1 46 73 323 305 349 218
si2_m4Dr2_m1296.08 6 1 61 46 351 321 292 212
si2_m4Dr2_m1296.01 6 1 69 49 345 330 294 237
si2_m4Dr2_m1296.03 6 1 49 42 315 318 288 223
si2_m4Dr2_m1296.04 6 1 39 40 337 344 278 211
si4_b06m_m800.08 4 1 31 44 261 256 248 176
si4_b06m_m800.00 4 1 36 43 273 253 258 174
si4_b06m_m800.06 4 1 29 42 259 262 257 180
si4_b06m_m800.05 4 1 28 44 259 265 248 176
si4_b06m_m800.04 4 1 47 28 264 270 240 179
si4_b06m_m800.09 4 1 28 35 246 244 252 182
si4_b06m_m800.01 4 1 32 36 261 283 250 182
si4_b06m_m800.07 4 1 29 40 264 279 254 179
si4_b06m_m800.03 4 1 34 49 274 263 266 181
si4_b06m_m800.02 4 1 30 30 271 264 259 180
si6_m4Dr2_m625.08 6 1 30 37 259 252 254 186
si6_m4Dr2_m625.09 6 1 29 29 261 262 250 183
si6_m4Dr2_m625.05 6 1 31 46 279 307 246 183
si6_m4Dr2_m625.01 6 1 27 46 265 253 271 177
si6_m4Dr2_m625.06 6 1 31 45 265 276 231 181
si6_m4Dr2_m625.00 6 1 30 23 258 250 267 181
si6_m4Dr2_m625.03 6 1 28 29 235 266 248 183
si6_m4Dr2_m625.02 6 1 31 31 257 261 252 179
si6_m4Dr2_m625.07 6 1 29 39 256 269 270 178
si6_m4Dr2_m625.04 6 1 30 41 255 270 249 181
si2_m4D_m1296.01 5 1 143 153 334 313 308 197
si2_m4D_m1296.08 5 1 40 36 352 335 315 212
si2_m4D_m1296.06 5 1 104 82 296 318 266 205
si2_m4D_m1296.05 5 1 42 40 339 316 307 216
si2_m4D_m1296.09 5 1 46 42 358 366 313 218
