instance family sat sequential14 sequentialinputordersoftmax14 sequentialshuffle14 sequentialantiheuristic14 sequentialinputordersoftmaxrestarts14 sequentialrestartsshuffle14 sequentialdds14 sequentialinputordershufflerestartsgoods14 sequentialinputordersoftmaxrestartsgoods14
F.04 1 1 2 2 1 1 1 1 0 2 2
C.18 1 1 41 60 36 38 37 38 34 46 46
A.04 1 1 0 0 0 0 0 0 0 1 0
C.02 1 1 35 34 36 34 36 35 36 42 44
E.01 1 0 0 0 0 0 0 0 0 0 0
F.20 1 1 38 37 28 11 40 27 1083 30 101
B.20 1 1 24 20 20 15 22 20 18 17 22
C.08 1 1 47 47 43 45 44 46 44 44 44
B.11 1 1 19 22 21 22 16 17 18 16 17
C.10 1 1 48 43 47 47 74 48 45 45 48
B.06 1 1 21 21 21 16 32 22 27 16 23
F.08 1 1 2 2 5 6 2 5 117 7 3
B.07 1 1 15 30 19 16 21 19 19 16 20
E.04 1 0 0 0 0 0 0 0 0 0 0
C.01 1 1 47 47 46 48 73 53 45 45 46
B.10 1 1 17 18 15 17 16 17 16 21 17
A.15 1 1 0 0 0 0 0 0 1 0 1
C.19 1 1 51 62 47 49 47 48 46 46 44
B.02 1 1 27 17 16 16 16 27 17 17 23
E.06 1 0 0 0 0 0 0 0 0 0 0
E.18 1 0 0 0 0 0 0 0 0 0 0
C.20 1 1 38 41 46 72 43 53 42 47 42
F.02 1 1 2 2 1 1 1 2 1 1 1
F.11 1 1 1 1 2 2 2 1 1 1 1
F.12 1 1 3 1 2 1 1 3 2 2 1
E.05 1 0 0 0 0 0 0 0 0 0 0
B.16 1 1 17 15 18 27 24 15 15 25 18
A.08 1 1 0 1 1 0 0 0 0 0 0
C.14 1 1 47 43 46 42 46 45 49 46 45
F.16 1 1 3 1 2 2 1 1 1 2 1
F.06 1 1 2 2 2 2 2 2 0 2 2
A.03 1 1 0 0 0 0 0 0 0 0 0
E.19 1 0 0 0 0 0 0 0 0 0 0
C.15 1 1 47 45 47 43 45 53 39 44 45
A.16 1 1 1 0 1 0 0 0 0 0 0
B.14 1 1 14 13 13 14 14 17 15 23 17
A.02 1 1 0 0 0 0 0 0 0 0 0
F.14 1 1 1 2 1 1 2 1 1 2 1
F.05 1 1 1 2 2 1 1 2 1 2 1
B.09 1 1 12 20 14 13 13 16 16 17 16
A.01 1 1 0 0 0 0 0 0 0 0 0
C.05 1 1 37 36 38 39 40 45 38 44 48
B.01 1 1 16 25 15 16 16 16 20 17 17
A.09 1 1 0 0 0 0 0 0 0 0 0
A.07 1 1 0 0 0 0 0 0 0 0 0
F.03 1 1 1 1 1 2 2 2 1 1 1
E.12 1 0 0 0 0 0 0 0 0 0 0
C.06 1 1 39 41 54 44 40 42 38 47 45
C.09 1 1 61 55 60 39 65 65 76 44 42
B.17 1 1 17 13 15 16 13 13 21 16 15
C.07 1 1 44 48 37 45 53 39 44 48 44
E.09 1 0 0 0 0 0 0 0 0 0 0
E.17 1 0 0 0 0 0 0 0 0 0 0
C.11 1 1 35 37 36 46 44 41 39 46 46
F.10 1 0 0 0 0 0 0 0 0 0 0
A.17 1 1 1 0 0 0 0 0 0 0 0
B.15 1 1 13 14 16 23 14 27 14 16 15
E.03 1 0 0 0 0 0 0 0 0 0 0
F.19 1 1 2 1 1 1 2 1 0 2 2
A.12 1 1 0 0 0 0 0 0 0 0 0
B.08 1 1 18 13 17 15 15 13 14 16 16
F.17 1 1 1 2 1 2 2 1 0 2 2
C.04 1 1 37 45 41 44 40 42 62 45 45
B.19 1 1 13 13 15 13 15 16 14 16 16
C.16 1 1 43 50 38 63 38 49 40 44 45
C.17 1 1 40 36 58 38 43 46 44 50 48
E.08 1 0 0 0 0 0 0 0 0 0 0
F.13 1 1 2 4 5 3 3 6 83 5 3
A.20 1 1 0 0 0 0 0 0 0 0 0
E.02 1 0 0 0 0 0 0 0 0 0 0
E.16 1 0 0 0 0 0 0 0 0 0 0
B.12 1 1 15 14 12 14 17 14 24 18 16
F.09 1 1 2 1 1 2 2 2 0 2 2
